ID,Nest,1st egg laid,Year,Date collection,Date collection num,Egg number collected,Time collection,Temperature - time of collection,Accumulated rain until collection,Clutch number,Female,Prop Lauric (SFA),Prop Myristic acid (SFA),Prop 15_0 (SFA),Prop Palmitic acid (SFA),Prop 17_0 (SFA),Prop Stearic (SFA),Prop Total SFA,Prop 14_1 (MUFA),Prop Oleic acid (MUFA),Prop 16:1n-9 (MUFA),Prop Palmitoleic acid (MUFA),Prop cis-vaccenic acid (MUFA),Prop Gondoic acid (MUFA),Prop 20:1n-7 (MUFA),Prop Total MUFA,Prop alfa-linolenic acid (n-3 PUFA),Prop EPA (n-3 PUFA),Prop DPA (n-3 PUFA),Prop DHA (n-3 PUFA),Prop Total n-3 PUFA,Prop 16:02 (n-6 PUFA),Prop gamma-linolenic (n-6 PUFA),Prop Linoleic acid (n-6 PUFA),Prop pinoleic acid (n-6 PUFA),Prop Eicosadienoic acid (n-6 PUFA),Prop dihomo-gamma-linolenic acid (n-6 PUFA),Prop eicosatrienoic acid (n-6 PUFA),Prop Arachidonic acid (n-6 PUFA),Prop 22:4n-6 (n-6 PUFA),Prop 22:5n-6 (n-6 PUFA),Prop Total n-6 PUFA,Prop 18:2 (n-9 PUFA),Prop Total n-9 PUFA,Prop Ratio n6/n3,Temp 3 days before,Mean accumulated rain 3 days previous
44,121A,30-Apr-15,2015,3-May-15,5.03,4,9:47:00 AM,11.5,NA,1,NA,0.01031355,0.577444572,0.108942105,22.4442551,0.369163564,6.992550175,30.50266907,NA,29.55814611,1.242080464,7.402970904,3.057813783,0.0335595,0.281290848,41.57586161,1.502789905,0.244456566,1.328248556,0.224340818,3.299835845,0.107933259,0.096940116,20.33417506,0.499562235,0.270235209,0.432268832,0.288428154,2.2424725,0.279412343,NA,24.55142771,0.070205774,0.070205774,7.440196683,9.29,NA
46,133,3-May-15,2015,6-May-15,5.06,4,9:40:00 AM,11,NA,2,C3F 8938,0.033190388,1.63718973,0.119406269,24.01067748,0.691500795,7.763713323,34.25567799,NA,35.70700206,0.939412509,2.550655263,1.834228805,0.063835038,0.495991131,41.59112481,4.480705255,0.54192635,2.294375682,0.319064567,7.636071854,0.039784059,0.12013763,13.62728593,0,0.200868049,0.270192171,0,2.007314979,0.164839426,NA,16.43042224,0.086703114,0.086703114,2.151685128,14.84,NA
48,144,6-May-15,2015,9-May-15,5.09,4,11:06:00 AM,14,0,1,C3F 8903,0.01295665,0.498856616,0.104516432,20.89617272,0.380496253,7.988009441,29.88100811,NA,29.68114599,1.233542712,6.718135046,3.210010335,0.026215585,0.388165423,41.25721509,2.177718361,0.275214964,1.539400197,0.177249901,4.169583423,0.115301531,0.086199052,20.56695939,0.464662414,0.313585627,0.36186285,0.192170056,2.103653843,0.421848824,NA,24.62624359,0.065949789,0.065949789,5.906164019,12.81,0
47,111,5-May-15,2015,7-May-15,5.07,4,11:44:00 AM,13.25,0,1,C3K 6061,0.011707208,0.412322696,0.075701976,18.49072845,0.529405014,9.233018344,28.75288369,NA,38.46744924,1.342604191,0.940430059,1.324298625,0.067853885,1.742380916,43.88501692,1.851391461,0.235570929,1.433231257,0.332467688,3.852661335,0.042623851,0.150254045,19.84127182,0.004121391,0.367294116,0.304005145,0,2.363636025,0.366381645,NA,23.43958804,0.069850018,0.069850018,6.083999085,14.81,NA
49,188,6-May-15,2015,9-May-15,5.09,4,11:28:00 AM,14.5,0,2,C3F 8940,0.015480573,0.569138052,0.132070158,22.72497429,0.865255596,7.597017822,31.90393649,NA,34.72705967,1.143309608,2.370096316,1.634968305,0.034385793,0.483430021,40.39324971,6.757622814,0.449222145,2.248602544,0.282928334,9.738375837,0.028159252,0.107530012,15.44941677,0,0.269730531,0.265987662,0,1.649060199,0.133893979,NA,17.90377841,0.060659548,0.060659548,1.838476837,12.81,0
50,196,5-May-15,2015,9-May-15,5.09,4,11:02:00 AM,14,0,2,C3F 8941,0.018074855,0.56019891,0.114139685,21.68425727,0.739586833,8.078886497,31.19514405,NA,35.66970955,1.18610665,1.99775892,1.419485296,0.04039776,0.726896889,41.04035507,5.85512704,0.493501783,2.045921878,0.21600163,8.610552331,0.034745414,0.104426695,16.45965438,0,0.234681667,0.31115223,0,1.843302213,0.122871754,NA,19.11083435,0.043114196,0.043114196,2.219466722,12.81,0
51,182,9-May-15,2015,11-May-15,5.11,4,10:09:00 AM,18,0.35,2,C3F 8939,0.012482719,0.455520327,0.128148319,23.01967096,0.834247854,8.773012851,33.22308303,NA,36.67214756,1.25212802,2.301276928,1.644319348,0.045690883,0.427653909,42.34321665,4.201550855,0.324355855,1.886208812,0.190537559,6.602653081,0.03127757,0.090722914,15.25665076,0,0.260498291,0.29940723,0,1.659633442,0.179617124,NA,17.77780733,0.053239907,0.053239907,2.692524825,13.49,1.82
1,151,12-Apr-15,2015,15-Apr-15,4.15,4,10:15:00 AM,22,0,1,C3F 8928,0.006550577,0.286021826,0.050650913,16.83470523,0.376259667,8.101936127,25.65612434,NA,38.45844937,1.759026209,0.855640251,1.337953085,0.056830208,1.888139912,44.35603904,1.469959155,0.330832543,1.323374166,0.387225396,3.51139126,0.059100155,0.089280931,23.38797976,0,0.437080338,0.316111034,0,1.951235859,0.219275885,NA,26.46006396,0.016381406,0.016381406,7.535492915,10.69,0
53,101,11-May-15,2015,14-May-15,5.14,4,11:54:00 AM,13.25,0,2,C3F 8936,0.015989385,0.6604307,0.121882764,23.44758437,0.8926305,9.701476985,34.8399947,NA,33.75333367,0.84300841,1.896105546,1.576743454,0.046020317,0.349305775,38.46451717,8.203876895,0.535229661,2.339751623,0.23142024,11.31027842,0.025104325,0.087821218,13.05195449,0,0.246671205,0.23652084,0,1.569284311,0.114918855,NA,15.33227524,0.052934453,0.052934453,1.355605466,15.79,0.12
54,137,11-May-15,2015,15-May-15,5.15,4,11:44:00 AM,11.5,5.81,2,C3F 8909,0.01096879,0.476862696,0.136959074,24.31007059,0.853067937,7.625891736,33.41382082,NA,34.90480811,1.013251218,2.424339964,1.827309264,0.04017298,0.34778273,40.55766427,8.222072018,0.484191485,2.426955993,0.251883951,11.38510345,0.021248926,0.095774612,12.47313581,0,0.231527221,0.19301777,0,1.470641493,0.117051946,NA,14.60239778,0.041013695,0.041013695,1.282588063,15.69,0
